131,"Samsung Galaxy A54 RAM 8 GB ROM 256 GB Front Camera 32 MP Back Camera 12 MP + 50 MP + 5MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 145,000",,Free Delivery,93,86
132,"Infinix Hot 30 , 8GB Ram 128GB Rom , 6.78 Inches IPS Display , 5000 mAh - 33W wired","Rs. 37,399",5,Free Delivery,90,68
133,"Redmi 12 , 8GB RAM 128GB ROM , 50 MP Main Camera , Fingerprint , 5000mAh Fast Charging","Rs. 44,999",4.7,Free Delivery,88,42
134,"Xiaomi 13T 12GB RAM-256GB ROM Flat display - FHD+ 6.67"" AMOLED PTA APPROVED OFFICIAL BRAND WARRANTY","Rs. 165,999",,Free Delivery,86,75
135,Xiaomi Redmi 12 RAM 8 GB ROM 128 GB Front Camera 8 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type 5000 mAh,"Rs. 44,980",4.7,Free Delivery,93,86
136,"Infinix Note 30 - 6.78"" Inch Display - 8GB RAM - 256GB ROM","Rs. 47,490",,Free Delivery,85,79
137,"Infinix Smart 7 HD , 2GB RAM 64GB ROM , 8MP Main Camera , Fingersenor , 5000 mAh Battery","Rs. 21,499",5,Standard Delivery,94,72
138,"Nokia C31 - 4GB / 64GB - Smartphone with 6.75"" HD+ Display and 5050 mAh non-removable battery, 4GB RAM / 64GB ROM, Android 12 OS, 2 years quarterly security updates, 13MP triple rear and selfie cameras - PTA approved","Rs. 24,999",4.4,Free Delivery,91,100
139,"Redmi 12C 4GB RAM 128GB ROM 6.71"" Display 50MP Camera 5000mAh Battery","Rs. 26,599",,Standard Delivery,95,90
140,"Tecno Spark 10C , 4GB RAM 128GB ROM , 16 MP Main Camera , Fingersensor , 5000mAh Battery","Rs. 29,999",4.3,Standard Delivery,94,72
141,Redmi Note 12 (8GB+128GB) 6.67'' AMOLED display PTA Approved 1 Year Official Warranty,"Rs. 50,999",4.5,Standard Delivery,93,77
142,"Samsung Galaxy A14 RAM 6 GB ROM 128 GB Front Camera 13 MP Back Camera 50 MP + 2 MP + 2 MP Battery Type (Li-Po Non removable), 5000 mAh","Rs. 57,770",5,Standard Delivery,95,72
143,"Samsung Galaxy A04s - 6.5"" Inch Display - 4GB RAM","Rs. 35,499",4,Free Delivery,85,79
144,Apple 14 pro max 128gb box pack jv non active 1 year warranty,"Rs. 267,000",,Free Delivery,Not enough data,100
145,VIVO Y17S = 6GB+6GB RAM 128GB ROM = 5000 mAh Battery,"Rs. 45,999",,Standard Delivery,96,56
146,"Infinix Smart 7 , 4GB RAM 64GB ROM , Octa Core Processor , Finger Sensor , 5000mAh Battery","Rs. 25,999",5,Free Delivery,New Seller,34
147,"Itel S23 , 8GB RAM 128GB ROM , 50MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 30,299",4.8,Free Delivery,90,68
148,"Hot 30 Play , 4+4GB Ram 64GB Rom , 6.8 Inches IPS Display , 6000 mAh - Fast charging 18W","Rs. 30,999",4.8,Free Delivery,90,68
149,"Samsung Galaxy A34 , 5G , 8GB Ram 256GB Rom , 6.6 Inches AMOLED Display 120Hz , 5000 mAh-Fast battery 25W wired","Rs. 113,850",4.7,Free Delivery,90,68
150,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 47,980",5,Standard Delivery,95,91
151,Tecno Spark 10C RAM 4 GB ROM 128 GB Front Camera 8 MP Back Camera 16 MP Battery Type 5000 mAh,"Rs. 29,999",5,Standard Delivery,93,54
152,Tecno Spark 10 Pro RAM 8 GB ROM 128 GB front Camera 32 MP Back Camera 50 MP Battery Type5000 mAh,"Rs. 39,990",5,Standard Delivery,95,91
153,"SPARX S3 2GB RAM 16GB ROM || 5.5"" DISPLAY || 2700 mAh BATTERY || DUAL CAMERA || ONE YEAR BRAND WARRANTY || PTA APPROVED","Rs. 12,699",4,Free Delivery,92,79
154,Tecno Spark 10 Pro RAM 8 GB ROM 128 GB front Camera 32 MP Back Camera 50 MP Battery Type5000 mAh,"Rs. 39,499",,Standard Delivery,93,54
155,"Samsung Galaxy A14 - 6.6"" Inch Display - 6GB RAM - 128GB ROM","Rs. 55,850",5,Free Delivery,85,79
156,Tecno Spark 10 4GB+4GB Ram 128GB Rom 6.6 Inches IPS Display 90Hz 5000 mAh- Fast battery 18W wired,"Rs. 32,999",5,Free Delivery,90,68
157,Tecno Spark 10 Pro 8GB/128GB - Android 13 - 5000 mAh,"Rs. 39,999",,Free Delivery,94,100
158,Redmi Note 12S - 8GB RAM 256GB ROM - 6.43 Inches Display - AMOLED LCD - Dual SIM - 5000mAh Battery,"Rs. 74,999",,Free Delivery,89,49
159,Tecno Spark 10 Pro RAM 8 GB ROM 128 GB front Camera 32 MP Back Camera 50 MP Battery Type5000 mAh,"Rs. 38,499",5,Free Delivery,89,49
160,"Samsung Galaxy A04 - 6.5"" Inch Display - 3GB RAM - 32GB ROM","Rs. 23,499",5,Free Delivery,85,79
161,Xiaomi Redmi 12 RAM 4 GB ROM 128 GB Front Camera 8 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type 5000 mAh,"Rs. 37,999",,Free Delivery,93,86
162,VIVO Y36 8+8=16GB RAM 256GB ROM = 5000mAh BATTER,"Rs. 68,999",,Standard Delivery,96,56
